w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
私,watashi,Pronoun,I (general),私 は 毎朝 コーヒー を 飲みます 。,わたし は まいあさ こーひー を のみます。,watashi ha maiasa ko-hi- wo nomimasu.,I drink coffee every morning.
仕事,shigoto,Verbal Noun,"work, job",3 月 は 仕事 が 忙しい 。,3 がつ は しごと が いそがしい。,3 gatsu ha shigoto ga isogashii.,I'm busy at work in March.
仕事,shigoto,Verbal Noun,"work, job",仕事 の あと 、 映画 を 見た 。,しごと の あと、 えいが を みた。,"shigoto no ato, eiga wo mita.",I saw a movie after work.
いつ,itsu,Interrogative,when,彼女 は いつ 来ます か 。,かのじょ は いつ きます か。,kanojo ha itsu kimasu ka.,When is she coming?
いつ,itsu,Interrogative,when,次 は いつ 会いましょう か 。,つぎ は いつ あいましょう か。,tsugi ha itsu aimashou ka.,When shall we meet again?
する,suru,Verb,"do, make",友達 と 一緒 に 宿題 を した 。,ともだち と いっしょ に しゅくだい を した。,tomodachi to issho ni shukudai wo shita.,I did my homework with my friend.
する,suru,Verb,"do, make",男の子 たち が サッカー を して いる 。,おとこのこ たち が さっかー を して いる 。,otokonoko tachi ga sakka- wo shite iru .,The boys are playing soccer.
出る,deru,Verb,"go out, leave",今朝 は 早く 家 を 出ました 。,けさ は はやく いえ を でました。,kesa ha hayaku ie wo demashita.,I left the house early this morning.
出る,deru,Verb,"go out, leave",今日 は 5 時 に 会社 を 出ます。,きょう は 5 じ に かいしゃ を でます。,kyou ha 5 ji ni kaisha wo demasu.,I'll leave the office at five today.
使う,tsukau,Verb,"use, make use of",この パソコン を 使って ください 。,この ぱそこん を つかって ください。,kono pasokon wo tsukatte kudasai.,Please use this computer.
使う,tsukau,Verb,"use, make use of",彼女 は 辞書 を よく 使います 。,かのじょ は じしょ を よく つかいます。,kanojo ha jisho wo yoku tsukaimasu.,She often uses a dictionary.
所,tokoro,Noun,place,私 は 友達 の 所 に 泊まった 。,わたし は ともだち の ところ に とまった。,watashi ha tomodachi no tokoro ni tomatta.,I stayed at my friend's place for the night.
所,tokoro,Noun,place,今年 の 夏休み に は 静かな 所 へ 行きたい 。,ことし の なつやすみ に は しずかな ところ へ いきたい。,kotoshi no natsuyasumi ni ha shizukana tokoro he ikitai.,I want to go to a quiet place this summer vacation.
作る,tsukuru,Verb,"make, create",今 、 朝 ご飯 を 作って います 。,いま、あさ ごはん を つくって います。,"ima,asa gohan wo tsukutte imasu.",I'm making breakfast now.
作る,tsukuru,Verb,"make, create",母 が コーン スープ を 作って いる 。,はは が こーん すーぷ を つくって いる。,haha ga ko-n su-pu wo tsukutte iru.,My mother is making some corn chowder.
思う,omou,Verb,think,私 も そう 思います 。,わたし も そう おもいます。,watashi mo sou omoimasu.,"I think so, too. "
思う,omou,Verb,think,あなた は どう 思います か 。,あなた は どう おもいます か。,anata ha dou omoimasu ka.,What do you think?
持つ,motsu,Verb,"have, possess",私 は 車 を 持って います 。,わたし は くるま を もって います。,watashi ha kuruma wo motte imasu.,I have a car.
持つ,motsu,Verb,"have, possess",私 は 黒い バッグ を 持って います 。,わたし は くろい ばっぐ を もって います。,watashi ha kuroi baggu wo motte imasu.,I have a black bag.
買う,kau,Verb,buy,郵便局 で 切手 を 買いました 。,ゆうびんきょく で きって を かいました。,yuubinkyoku de kitte wo kaimashita.,I bought a stamp at the post office.
買う,kau,Verb,buy,本 を 1 冊 買いました 。,ほん を 1 さつ かいました。,hon wo 1 satsu kaimashita.,I bought one book.
時間,jikan,Noun,"time, hour",今 は 時間 が ありません 。,いま は じかん が ありません。,ima ha jikan ga arimasen.,I don't have time now.
時間,jikan,Noun,"time, hour",まだ 学校 へ 行く に は 早い 時間 です 。,まだ がっこう へ いく に は はやい じかん です。,mada gakkou he iku ni ha hayai jikan desu.,It's still too early to go to school.
知る,shiru,Verb,know,誰 も その 話 を 知らない 。,だれ も その はなし を しらない。,dare mo sono hanashi wo shiranai.,No one knows that story.
知る,shiru,Verb,know,あの 女の子 を 知って います か 。,あの おんなのこ を しって います か。,ano onnanoko wo shitte imasu ka.,Do you know that girl?
同じ,onaji,Adjectival Noun,"same, identical",彼 の 日本 語 の レベル は 私 と 同じ くらい だ 。,かれ の にほん ご の れべる は わたし と おなじ くらい だ。,kare no nihon go no reberu ha watashi to onaji kurai da.,His Japanese level is about the same as mine.
同じ,onaji,Adjectival Noun,"same, identical",いとこ と 私 は 同じ 年 です 。,いとこ と わたし は おなじ とし です。,itoko to watashi ha onaji toshi desu.,My cousin and I are the same age.
今,ima,Adverb,now,彼 は 今 、 勉強 して います 。,かれ は いま、べんきょう して います。,"kare ha ima,benkyou shite imasu.",He's studying now.
今,ima,Adverb,now,今 ホテル に 着きました 。,いま ほてる に つきました。,ima hoteru ni tsukimashita.,I've just arrived at the hotel.
新しい,atarashii,Adjective,new,彼 の 車 は 新しい 。,かれ の くるま は あたらしい。,kare no kuruma ha atarashii.,His car is new.
新しい,atarashii,Adjective,new,新しい テーブル を 買いました 。,あたらしい てーぶる を かいました。,atarashii te-buru wo kaimashita.,I bought a new table.
なる,naru,Verb,become,彼 は 医者 に なりました 。,かれ は いしゃ に なりました。,kare ha isha ni narimashita.,He became a doctor.
なる,naru,Verb,become,私 は 日本 語 の 先生 に なりたい です 。,わたし は にほん ご の せんせい に なりたい です。,watashi ha nihon go no sensei ni naritai desu.,I want to become a Japanese teacher.
まだ,mada,Adverb,"(not) yet, still",宿題 は まだ 終わって いません 。,しゅくだい は まだ おわって いません。,shukudai ha mada owatte imasen.,I haven't finished my homework yet.
まだ,mada,Adverb,"(not) yet, still",彼 は まだ 若い です 。,かれ は まだ わかい です。,kare ha mada wakai desu.,He's still young.
あと,ato,Noun,after,仕事 の あと 、 映画 を 見た 。,しごと の あと、 えいが を みた。,"shigoto no ato, eiga wo mita.",I saw a movie after work.
あと,ato,Noun,after,この あと、時間 が あります か。,この あと、じかん が あります か。,"kono ato,jikan ga arimasu ka.",Do you have time after this?
聞く,kiku,Verb,"hear, ask, listen",彼女 は ラジオ を 聞いて います 。,かのじょ は らじお を きいて います。,kanojo ha rajio wo kiite imasu.,She's listening to the radio.
聞く,kiku,Verb,"hear, ask, listen",誰 か に 聞いて みて ください 。,だれ か に きいて みて ください。,dare ka ni kiite mite kudasai.,Please ask someone.
言う,iu,Verb,"say, tell",上司 が 「 一杯 、 飲もう 」 と 言った 。,じょうし が 「いっぱい のもう」 と いった。,joushi ga 「ippai nomou」 to itta.,"My boss said: ""Let's have a drink."""
言う,iu,Verb,"say, tell",彼 は また 電話 する と 言いました。,かれ は また でんわ する と いいました。,kare ha mata denwa suru to iimashita.,He said he'd call again.
少ない,sukunai,Adjective,"few, little",今年 は 雨 が 少ない です 。,ことし は あめ が すくない です。,kotoshi ha ame ga sukunai desu.,There's not much rain this year.
少ない,sukunai,Adjective,"few, little",この 町 に は 外人 が 少ない 。,この まち に は がいじん が すくない。,kono machi ni ha gaijin ga sukunai.,There are few foreigners in this town.
高い,takai,Adjective,"high, tall",これ が この 町 で 一番 高い ビル です 。,これ が この まち で いちばん たかい びる です。,kore ga kono machi de ichiban takai biru desu.,This is the tallest building in this town.
高い,takai,Adjective,"high, tall",彼 は クラス で 一番 背 が 高い 。,かれ は くらす で いちばん せ が たかい。,kare ha kurasu de ichiban se ga takai.,He's the tallest in class.
子供,kodomo,Noun,child,電車 で 子供 が 騒いで いた 。,でんしゃ で こども が さわいで いた。,densha de kodomo ga sawaide ita.,Children were making a lot of noise in the train.
子供,kodomo,Noun,child,子供 は カレーライス が 好き です 。,こども は かれーらいす が すき です。,kodomo ha kare-raisu ga suki desu.,Kids like curry and rice.
そう,sou,Adverb,"so, that way",私 も そう 思います 。,わたし も そう おもいます。,watashi mo sou omoimasu.,That's what I think too.
そう,sou,Adverb,"so, that way",彼女 は そう 言いました。,かのじょ は そう いいました。,kanojo ha sou iimashita.,She said so.
もう,mou,Adverb,"already, yet",彼 は もう 帰りました 。,かれ は もう かえりました。,kare ha mou kaerimashita.,He's already gone home.
もう,mou,Adverb,"already, yet",もう お金 が 無くなりました 。,もう おかね が なくなりました。,mou okane ga nakunarimashita.,I've run out of money already.
学生,gakusei,Noun,student,彼 は 真面目な 学生 です 。,かれ は まじめな がくせい です。,kare ha majimena gakusei desu.,He's a serious student.
学生,gakusei,Noun,student,僕 は 学生 です 。,ぼく は がくせい です。,boku ha gakusei desu.,I'm a student.
熱い,atsui,Adjective,hot (to touch),この スープ は とても 熱い 。,この すーぷ は とても あつい。,kono su-pu ha totemo atsui.,This soup is very hot.
熱い,atsui,Adjective,hot (to touch),私 の お祖母ちゃん は 熱い お茶 が 好き です。,わたし の おばあちゃん は あつい おちゃ が すき です 。,watashi no obaachan ha atsui ocha ga suki desu .,My grandmother likes hot tea.
どうぞ,douzo,Adverb,please,こちら へ どうぞ 。,こちら へ どうぞ。,kochira he douzo.,This way please.
どうぞ,douzo,Adverb,please,次 の 方 、 どうぞ 。,つぎ の かた、どうぞ。,"tsugi no kata,douzo.",Next please.
午後,gogo,Noun,"afternoon, p.m.",明日 の 午後 、 お客様 が 来る 。,あす の ごご おきゃくさま が くる。,asu no gogo okyakusama ga kuru.,A guest is coming to visit tomorrow afternoon.
午後,gogo,Noun,"afternoon, p.m.",午後 8 時 に 大阪 に 着きます 。,ごご 8 じ に おおさか に つきます。,gogo 8 ji ni oosaka ni tsukimasu.,I will arrive in Osaka at 8:00 pm.
長い,nagai,Adjective,long,彼女 の 髪 は とても 長い 。,かのじょ の かみ は とても ながい。,kanojo no kami ha totemo nagai.,Her hair is very long.
長い,nagai,Adjective,long,夏 は 日 が 長い 。,なつ は ひ が ながい。,natsu ha hi ga nagai.,Days are longer in summer.
本,hon,Noun,book,本 を 1 冊 買いました 。,ほん を 1 さつ かいました。,hon wo 1 satsu kaimashita.,I bought one book.
本,hon,Noun,book,この 本 は すごく 面白かった 。,この ほん は すごく おもしろかった。,kono hon ha sugoku omoshirokatta.,This book was very interesting.
今年,kotoshi,Noun,this year (colloquial),今年 は イタリア に 旅行 したい 。,ことし は いたりあ に りょこう したい。,kotoshi ha itaria ni ryokou shitai.,I want to travel to Italy this year.
今年,kotoshi,Noun,this year (colloquial),今年 は 雨 が 少ない です 。,ことし は あめ が すくない です。,kotoshi ha ame ga sukunai desu.,There's not much rain this year.
よく,yoku,Adverb,"often, well",彼女 は よく 旅行 に 行きます 。,かのじょ は よく りょこう に いきます。,kanojo ha yoku ryokou ni ikimasu.,She often goes on holiday.
よく,yoku,Adverb,"often, well",彼 は よく 映画 を 見ます 。,かれ は よく えいが を みます。,kare ha yoku eiga wo mimasu.,He often watches movies.
彼女,kanojo,Pronoun,"she, girlfriend",彼女 は OL です 。,かのじょ は おーえる です。,kanojo ha o-eru desu.,She's an office worker.
彼女,kanojo,Pronoun,"she, girlfriend",彼女 は いつも 元気 だ 。,かのじょ は いつも げんき だ。,kanojo ha itsumo genki da.,She's always full of energy.
どう,dou,Interrogative,"how, what",あなた は どう 思います か 。,あなた は どう おもいます か。,anata ha dou omoimasu ka.,What do you think?
どう,dou,Interrogative,"how, what",私 は どう したら いい です か。,わたし は どう したら いい です か。,watashi ha dou shitara ii desu ka.,What should I do?
言葉,kotoba,Noun,"word, language",この 言葉 の 意味 が 分かりません 。,この ことば の いみ が わかりません。,kono kotoba no imi ga wakarimasen.,I don't understand the meaning of this word.
言葉,kotoba,Noun,"word, language",言葉 に 気 を 付けて ください。,ことば に き を つけて ください。,kotoba ni ki wo tsukete kudasai.,Watch your mouth.
顔,kao,Noun,face,彼 は タオル で 顔 を 拭きました 。,かれ は たおる で かお を ふきました。,kare ha taoru de kao wo fukimashita.,He wiped his face with a towel.
顔,kao,Noun,face,早く 顔 を 洗いなさい 。,はやく かお を あらいなさい。,hayaku kao wo arainasai.,Hurry up and wash your face.
終わる,owaru,Verb,"finish, end",会議 は 4 時 に 終わります 。,かいぎ は 4 じ に おわります。,kaigi ha 4 ji ni owarimasu.,The conference ends at four o'clock.
終わる,owaru,Verb,"finish, end",やっと 仕事 が 終わりました 。,やっと しごと が おわりました。,yatto shigoto ga owarimashita.,"Finally, I finished my work."
一つ,hitotsu,Noun,one (thing),それ を 一つ ください 。,それ を ひとつ ください。,sore wo hitotsu kudasai.,Please give me one of those.
一つ,hitotsu,Noun,one (thing),問題 が 一つ あります 。,もんだい が ひとつ あります。,mondai ga hitotsu arimasu.,There's one problem.
あげる,ageru,Verb,"give, offer (colloquial)",この 本 、 あなた に あげます 。,この ほん、あなた に あげます。,"kono hon,anata ni agemasu.",I'll give you this book.
あげる,ageru,Verb,"give, offer (colloquial)",赤ちゃん に ミルク を あげた 。,あかちゃん に みるく を あげた。,akachan ni miruku wo ageta.,I gave the baby some milk.
こう,kou,Adverb,"like this, such",こう 小さい 字 は 読めない 。,こう ちいさい じ は よめない。,kou chiisai ji ha yomenai.,I can't read such small letters.
こう,kou,Adverb,"like this, such",母 は いつも 私 に 「こう しなさい。」 と 言います。,はは は いつも わたし に 「こう しなさい。」 と いいます。,haha ha itsumo watashi ni 「kou shinasai.」 to iimasu.,"My mother always tells to do things ""this (her) way."""
学校,gakkou,Noun,school,学校 は 8 時 半 に 始まります 。,がっこう は 8 じ はん に はじまります。,gakkou ha 8 ji han ni hajimarimasu.,School starts at 8:30.
学校,gakkou,Noun,school,この 学校 は 1 クラス 30 人 です 。,この がっこう は 1 くらす 30 にん です。,kono gakkou ha 1 kurasu 30 nin desu.,This school has 30 people in each class.
くれる,kureru,Verb,be given,友達 が 誕生日 プレゼント を くれた 。,ともだち が たんじょうび ぷれぜんと を くれた。,tomodachi ga tanjoubi purezento wo kureta.,My friend gave me a birthday present.
くれる,kureru,Verb,be given,父 が 本 を くれました。,ちち が ほん を くれました。,chichi ga hon wo kuremashita.,My father gave me a book.
始める,hajimeru,Verb,start (something),テスト を 始めて ください 。,てすと を はじめて ください。,tesuto wo hajimete kudasai.,Please start the test.
始める,hajimeru,Verb,start (something),そろそろ 始めましょう か 。,そろそろ はじめましょう か。,sorosoro hajimemashou ka.,Shall we start?
起きる,okiru,Verb,"get up, get out of bed",私 は 毎朝 6 時 に 起きます 。,わたし は まいあさ 6 じ に おきます。,watashi ha maiasa 6 ji ni okimasu.,I get up at six o'clock every morning.
起きる,okiru,Verb,"get up, get out of bed",今日 は 7 時 に 起きました。,きょう は 7 じ に おきました。,kyou ha 7 ji ni okimashita.,I got up at seven today.
春,haru,Noun,spring,今年 の 春 は 暖かい ね 。,ことし の はる は あたたかい ね。,kotoshi no haru ha atatakai ne.,"It's warm this spring, don't you think?"
春,haru,Noun,spring,私 の 一番 好きな 季節 は 春 です 。,わたし の いちばん すきな きせつ は はる です。,watashi no ichiban sukina kisetsu ha haru desu.,My favorite season is spring.
午前,gozen,Noun,"morning, a.m.",午前 9 時 の ニュース です 。,ごぜん 9 じ の にゅーす です。,gozen 9 ji no nyu-su desu.,Now for the 9.00 a.m. news.
午前,gozen,Noun,"morning, a.m.",ロンドン に は 午前 10 時 に 着きます。,ろんどん に は ごぜん 10 じ に つきます。,rondon ni ha gozen 10 ji ni tsukimasu.,We're going to arrive in London at 10:00 a.m.
別,betsu,Adjectival Noun,"another, different",別 の 本 も 見せて ください 。,べつ の ほん も みせて ください。,betsu no hon mo misete kudasai.,Please show me another book.
別,betsu,Adjectival Noun,"another, different",この Tシャツ の 別 の 色 は あります か。,この てぃーしゃつ の べつ の いろ は あります か。,kono ti-shatsu no betsu no iro ha arimasu ka.,Do you have this T-shirt in another color?
どこ,doko,Interrogative,where,あの 本 を どこ に 置きました か 。,あの ほん を どこ に おきました か。,ano hon wo doko ni okimashita ka.,Where did you put that book?
どこ,doko,Interrogative,where,郵便局 は どこ です か 。,ゆうびんきょく は どこ です か。,yuubinkyoku ha doko desu ka.,Where's the post office?
部屋,heya,Noun,room,私 の 部屋 は 2 階 に あります 。,わたし の へや は 2 かい に あります。,watashi no heya ha 2 kai ni arimasu.,My room is on the second floor.
部屋,heya,Noun,room,そっち が 私 の 部屋 です 。,そっち が わたし の へや です。,socchi ga watashi no heya desu.,That's my room over there.
若い,wakai,Adjective,young,彼 は まだ 若い です 。,かれ は まだ わかい です。,kare ha mada wakai desu.,He's still young.
若い,wakai,Adjective,young,その 店 は 若い 客 が 多い です 。,その みせ は わかい きゃく が おおい です。,sono mise ha wakai kyaku ga ooi desu.,That shop has a lot of young customers.
車,kuruma,Noun,"car, automobile",弟 が 車 を 買った 。,おとうと が くるま を かった。,otouto ga kuruma wo katta.,My younger brother bought a car.
車,kuruma,Noun,"car, automobile",車 を 止めて 。,くるま  を とめて。,kuruma  wo tomete.,Stop the car.
置く,oku,Verb,"put, place",彼 は かばん を いす の 上 に 置きました 。,かれ は かばん を いす の うえ に おきました。,kare ha kaban wo isu no ue ni okimashita.,He put the bag on the chair.
置く,oku,Verb,"put, place",あの 本 を どこ に 置きました か 。,あの ほん を どこ に おきました か。,ano hon wo doko ni okimashita ka.,Where did you put that book?
住む,sumu,Verb,"live, reside",彼 は 会社 の 近く に 住んで いる 。,かれ は かいしゃ の ちかく に すんで いる。,kare ha kaisha no chikaku ni sunde iru.,He lives near his office.
住む,sumu,Verb,"live, reside",彼 は アパート に 住んで います 。,かれ は あぱーと に すんで います。,kare ha apa-to ni sunde imasu.,He lives in an apartment.
働く,hataraku,Verb,work,姉 は 銀行 で 働いて います 。,あね は ぎんこう で はたらいて います。,ane ha ginkou de hataraite imasu.,My big sister works at a bank.
働く,hataraku,Verb,work,彼女 は パート で 働いて います 。,かのじょ は ぱーと で はたらいて います。,kanojo ha pa-to de hataraite imasu.,She is working part time.
難しい,muzukashii,Adjective,difficult,この 本 は 難しい です ね 。,この ほん は むずかしい です ね。,kono hon ha muzukashii desu ne.,This book is difficult.
難しい,muzukashii,Adjective,difficult,外国 語 を 習う の は 難しい 。,がいこく ご を ならう の は むずかしい 。,gaikoku go wo narau no ha muzukashii .,Learning foreign languages is hard.
先生,sensei,Noun,teacher (colloquial),私 は 日本 語 の 先生 に なりたい です 。,わたし は にほん ご の せんせい に なりたい です。,watashi ha nihon go no sensei ni naritai desu.,I want to become a Japanese teacher.
先生,sensei,Noun,teacher (colloquial),彼 の 父親 は 先生 です 。,かれ の ちちおや は せんせい です。,kare no chichioya ha sensei desu.,His father is a teacher.
立つ,tatsu,Verb,"stand, rise",彼 は ステージ に 立った 。,かれ は すてーじ に たった。,kare ha sute-ji ni tatta.,He stood on stage.
立つ,tatsu,Verb,"stand, rise",道 の 真ん中 に 人 が 立って いる 。,みち の まんなか に ひと が たって いる。,michi no mannaka ni hito ga tatte iru.,Someone is standing in the middle of the road.
呼ぶ,yobu,Verb,"call, name",ウェイター を 呼びましょう 。,うぇいたー を よびましょう。,weita- wo yobimashou.,Let's call the waiter.
呼ぶ,yobu,Verb,"call, name",タクシー を 呼んで ください 。,たくしー を よんで ください。,takushi- wo yonde kudasai.,Please call a taxi.
大学,daigaku,Noun,"university, college",大学 に 行って もっと 勉強 したい です 。,だいがく に いって もっと べんきょう したい です。,daigaku ni itte motto benkyou shitai desu.,I want to go to college and study more.
大学,daigaku,Noun,"university, college",うち の 息子 は 大学 1 年生 です 。,うち の むすこ は だいがく 1 ねんせい です。,uchi no musuko ha daigaku 1 nensei desu.,My son's a college freshman.
安い,yasui,Adjective,"cheap, inexpensive",この 服 は とても 安かった 。,この ふく は とても やすかった。,kono fuku ha totemo yasukatta.,These clothes were very cheap.
安い,yasui,Adjective,"cheap, inexpensive",あの 店 は 魚 が 安い です。,あの みせ は さかな が やすい です。,ano mise ha sakana ga yasui desu.,The fish at that store is cheap.
もっと,motto,Adverb,more,もっと 近く に 来て ください 。,もっと ちかく に きて ください。,motto chikaku ni kite kudasai.,Please come closer.
もっと,motto,Adverb,more,もっと ゆっくり 話して ください 。,もっと ゆっくり はなして ください。,motto yukkuri hanashite kudasai.,Please speak more slowly.
帰る,kaeru,Verb,go back home,家 に 帰ろう 。,うち に かえろう。,uchi ni kaerou.,Let's go home.
帰る,kaeru,Verb,go back home,彼 は もう 帰りました 。,かれ は もう かえりました。,kare ha mou kaerimashita.,He's already gone home.
分かる,wakaru,Verb,understand,質問 の 意味 は 分かりました か 。,しつもん の いみ は わかりました か。,shitsumon no imi ha wakarimashita ka.,Did you understand the meaning of the question?
分かる,wakaru,Verb,understand,その 子 は 日本 語 が 分からない 。,その こ は にほん ご が わからない。,sono ko ha nihon go ga wakaranai.,That kid doesn't understand Japanese.
広い,hiroi,Adjective,"wide, big",彼 の 家 は とても 広い 。,かれ の いえ は とても ひろい。,kare no ie ha totemo hiroi.,His house is very big.
広い,hiroi,Adjective,"wide, big",海 は 広くて 大きい 。,うみ は ひろくて おおきい。,umi ha hirokute ookii.,The sea is vast and wide.
数,kazu,Noun,number,グラス の 数 が 足りません 。,ぐらす の かず が たりません。,gurasu no kazu ga tarimasen.,We don't have enough number of glasses.
数,kazu,Noun,number,いす の 数 を 数えて ください 。,いす の かず を かぞえて ください。,isu no kazu wo kazoete kudasai.,Please count the number of chairs.
近い,chikai,Adjective,"near, close",駅 は ここ から 近い です 。,えき は ここ から ちかい です。,eki ha koko kara chikai desu.,The station is near here.
近い,chikai,Adjective,"near, close",その ホテル は 空港 から 近い です か。,その ほてる は くうこう から ちかい です か。,sono hoteru ha kuukou kara chikai desu ka.,Is the hotel close to the airport?
そこ,soko,Pronoun,there,そこ に 座って ください 。,そこ に すわって ください。,soko ni suwatte kudasai.,Please sit there.
そこ,soko,Pronoun,there,そこ を 左 に 曲がって ください 。,そこ を ひだり に まがって ください。,soko wo hidari ni magatte kudasai.,Please turn left there.
走る,hashiru,Verb,run,彼 は 毎晩 3 キロ 走って います 。,かれ は まいばん 3 きろ はしって います。,kare ha maiban 3 kiro hashitte imasu.,Every night he runs three kilometers.
走る,hashiru,Verb,run,彼 は 走る の が 速い 。,かれ は はしる の が はやい。,kare ha hashiru no ga hayai.,He runs fast.
入れる,ireru,Verb,put in,彼 は かばん に 手帳 を 入れた 。,かれ は かばん に てちょう を いれた。,kare ha kaban ni techou wo ireta.,He put the notebook in his bag.
入れる,ireru,Verb,put in,コーヒー に 砂糖 は 入れます か 。,こーひー に さとう は いれます か。,ko-hi- ni satou ha iremasu ka.,Do you want sugar in your coffee?
教える,oshieru,Verb,"teach, tell",彼 は 数学 を 教えて います 。,かれ は すうがく を おしえて います。,kare ha suugaku wo oshiete imasu.,He teaches mathematics.
教える,oshieru,Verb,"teach, tell",あなた の 名前 を 教えて ください 。,あなた の なまえ を おしえて ください。,anata no namae wo oshiete kudasai.,Please tell me your name.
歩く,aruku,Verb,"walk, go on foot",駅 まで 歩きましょう 。,えき まで あるきましょう。,eki made arukimashou.,Let's walk to the station.
歩く,aruku,Verb,"walk, go on foot",私 は 森 を 歩く の が 好き です 。,わたし は もり を  あるく の が すき です。,watashi ha mori wo  aruku no ga suki desu.,I like to walk in the forest.
会う,au,Verb,meet,また 会いましょう 。,また あいましょう。,mata aimashou.,Let's meet again.
会う,au,Verb,meet,昨日 おじさん に 会いました 。,きのう おじさん に あいました。,kinou ojisan ni aimashita.,I met my uncle yesterday.
書く,kaku,Verb,write,彼 に 手紙 を 書きました 。,かれ に てがみ を かきました。,kare ni tegami wo kakimashita.,I wrote him a letter.
書く,kaku,Verb,write,お名前 を カタカナ で 書いて ください 。,おなまえ を かたかな で かいて ください。,onamae wo katakana de kaite kudasai.,Please write your name in katakana.
頭,atama,Noun,head,今朝 から 頭 が 痛い 。,けさ から あたま が いたい。,kesa kara atama ga itai.,I've had a headache since this morning.
頭,atama,Noun,head,彼 は すごく 頭 が いい です。,かれ は すごく あたま が いい です。,kare ha sugoku atama ga ii desu.,He is very smart.
売る,uru,Verb,sell,彼 は 家 を 売った 。,かれ は いえ を うった。,kare ha ie wo utta.,He sold the house.
売る,uru,Verb,sell,私 は、古い 本 を 売りました。,わたし は、ふるい ほん を うりました。,"watashi ha,furui hon wo urimashita.",I sold old books.
大好き,daisuki,Adjectival Noun,like (something) a lot,私 は 犬 が 大好き だ 。,わたし は いぬ が だいすき だ。,watashi ha inu ga daisuki da.,I like dogs a lot.
大好き,daisuki,Adjectival Noun,like (something) a lot,私 は 夏 が 大好き 。,わたし は なつ が だいすき。,watashi ha natsu ga daisuki.,I just love summer.
体,karada,Noun,"body, physique, physical condition",私 は 体 が 丈夫 だ 。,わたし は からだ が じょうぶ だ。,watashi ha karada ga joubu da.,I'm physically strong.
体,karada,Noun,"body, physique, physical condition",タバコ は 体 に 悪い 。,たばこ は からだ に わるい。,tabako ha karada ni warui.,Cigarettes are bad for your health.
直ぐ,sugu,Adverb,"at once, soon",直ぐ 行きます 。,すぐ いきます。,sugu ikimasu.,I'll go right away.
直ぐ,sugu,Adverb,"at once, soon",直ぐ 来て ください。,すぐ きて ください。,sugu kite kudasai.,Please come at once.
飛ぶ,tobu,Verb,fly,鳥 が 飛んで います 。,とり が とんで います。,tori ga tonde imasu.,There's a bird flying.
飛ぶ,tobu,Verb,fly,飛行機 が 山 の 向こう へ 飛んで いきました。,ひこうき が やま の むこう へ とんで いきました。,hikouki ga yama no mukou he tonde ikimashita.,An airplane flew beyond the mountain.
とても,totemo,Adverb,very (colloquial),この 本 は とても おもしろい 。,この ほん は とても おもしろい。,kono hon ha totemo omoshiroi.,This book is very interesting.
とても,totemo,Adverb,very (colloquial),この スープ は とても 熱い 。,この すーぷ は とても あつい。,kono su-pu ha totemo atsui.,This soup is very hot.
誰,dare,Interrogative,who,誰 と 会って みたい です か 。,だれ と あって みたい です か。,dare to atte mitai desu ka.,Who would you like to meet?
